,MMSI,LAT,LON,VesselName
117,367552480,38.94636,-74.993,AMERICAN STAR
118,367552480,38.9476,-74.99894,AMERICAN STAR
119,367552480,38.94868,-75.00488,AMERICAN STAR
120,367552480,38.94983,-75.01073,AMERICAN STAR
121,367552480,38.9512,-75.01657,AMERICAN STAR
122,367552480,38.95242,-75.02266,AMERICAN STAR
123,367552480,38.95373,-75.02872,AMERICAN STAR
124,367552480,38.95501,-75.0348,AMERICAN STAR
125,367552480,38.95628,-75.04093,AMERICAN STAR
126,367552480,38.95822,-75.04655,AMERICAN STAR
127,367552480,38.96006,-75.05245,AMERICAN STAR
128,367552480,38.96702,-74.9642,AMERICAN STAR
129,367552480,38.96731,-74.9601,AMERICAN STAR
130,367552480,38.96732,-74.95749,AMERICAN STAR
131,367552480,38.96726,-74.95513,AMERICAN STAR
132,367552480,38.96693,-74.9512,AMERICAN STAR
133,367552480,38.96693,-74.94679,AMERICAN STAR
134,367552480,38.96689,-74.94362,AMERICAN STAR
135,367552480,38.96723,-74.93895,AMERICAN STAR
136,367552480,38.96675,-74.9362,AMERICAN STAR
137,367552480,38.96486,-74.93138,AMERICAN STAR
138,367552480,38.96302,-74.92634,AMERICAN STAR
139,367552480,38.96197,-74.92359,AMERICAN STAR
140,367552480,38.96068,-74.91955,AMERICAN STAR
141,367552480,38.959,-74.91496,AMERICAN STAR
142,367552480,38.95672,-74.91061,AMERICAN STAR
143,367552480,38.95422,-74.90638,AMERICAN STAR
144,367552480,38.95237,-74.90345,AMERICAN STAR
145,367552480,38.95037,-74.90026,AMERICAN STAR
146,367552480,38.9488,-74.89941,AMERICAN STAR
147,367552480,38.94841,-74.90366,AMERICAN STAR
148,367552480,38.9485,-74.90632,AMERICAN STAR
149,367552480,38.94928,-74.90821,AMERICAN STAR
150,367552480,38.94977,-74.90887,AMERICAN STAR
151,367552480,38.94977,-74.90887,AMERICAN STAR
152,367552480,38.94975,-74.90884,AMERICAN STAR
153,367552480,38.94975,-74.90884,AMERICAN STAR
154,367552480,38.94975,-74.90884,AMERICAN STAR
155,367552480,38.94975,-74.90885,AMERICAN STAR
156,367552480,38.94975,-74.90885,AMERICAN STAR
157,367552480,38.94975,-74.90884,AMERICAN STAR
158,367552480,38.94975,-74.90885,AMERICAN STAR
159,367552480,38.94975,-74.90885,AMERICAN STAR
160,367552480,38.94975,-74.90884,AMERICAN STAR
161,367552480,38.94975,-74.90885,AMERICAN STAR
162,367552480,38.94976,-74.90885,AMERICAN STAR
163,367552480,38.94976,-74.90885,AMERICAN STAR
164,367552480,38.94976,-74.90885,AMERICAN STAR
165,367552480,38.94976,-74.90885,AMERICAN STAR
166,367552480,38.94976,-74.90885,AMERICAN STAR
167,367552480,38.94976,-74.90885,AMERICAN STAR
168,367552480,38.94976,-74.90885,AMERICAN STAR
169,367552480,38.94976,-74.90885,AMERICAN STAR
170,367552480,38.94976,-74.90885,AMERICAN STAR
171,367552480,38.94976,-74.90885,AMERICAN STAR
172,367552480,38.94976,-74.90885,AMERICAN STAR
173,367552480,38.94976,-74.90885,AMERICAN STAR
174,367552480,38.94977,-74.90885,AMERICAN STAR
175,367552480,38.94977,-74.90885,AMERICAN STAR
176,367552480,38.9497,-74.90869,AMERICAN STAR
177,367552480,38.94914,-74.90799,AMERICAN STAR
178,367552480,38.94892,-74.90706,AMERICAN STAR
179,367552480,38.9483,-74.90541,AMERICAN STAR
180,367552480,38.94848,-74.9019,AMERICAN STAR
181,367552480,38.94888,-74.89855,AMERICAN STAR
182,367552480,38.94942,-74.89453,AMERICAN STAR
183,367552480,38.95002,-74.89071,AMERICAN STAR
184,367552480,38.95056,-74.88727,AMERICAN STAR
185,367552480,38.95109,-74.8837,AMERICAN STAR
186,367552480,38.95132,-74.87985,AMERICAN STAR
187,367552480,38.95023,-74.87556,AMERICAN STAR
188,367552480,38.94626,-74.87198,AMERICAN STAR
189,367552480,38.94331,-74.86965,AMERICAN STAR
190,367552480,38.93914,-74.86599,AMERICAN STAR
191,367552480,38.93586,-74.86394,AMERICAN STAR
192,367552480,38.93553,-74.86506,AMERICAN STAR
193,367552480,38.9356,-74.86383,AMERICAN STAR
194,367552480,38.9362,-74.8629,AMERICAN STAR
195,367552480,38.93636,-74.86292,AMERICAN STAR
196,367552480,38.93551,-74.86564,AMERICAN STAR
197,367552480,38.93459,-74.87165,AMERICAN STAR
198,367552480,38.93401,-74.8755,AMERICAN STAR
199,367552480,38.93401,-74.8755,AMERICAN STAR
200,367552480,38.93337,-74.88105,AMERICAN STAR
201,367552480,38.93314,-74.88475,AMERICAN STAR
202,367552480,38.93244,-74.89016,AMERICAN STAR
